City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
584,Te Anau,NZ,66.06,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
585,Taunggyi,MM,61.54,clear sky,20.7833,97.0333,True Treasure Hotel
586,Mount Gambier,AU,56.1,broken clouds,-37.8333,140.7667,The Commodore
587,Awjilah,LY,60.58,clear sky,29.1081,21.2869,
589,Tiznit,MA,65.62,few clouds,29.5833,-9.5,
590,Boulder City,US,54.43,clear sky,35.9786,-114.8325,Boulder Dam Hotel
591,Tanabe,JP,59.76,clear sky,33.7333,135.3667,美吉屋旅館
592,Otukpo,NG,73.38,overcast clouds,7.1913,8.1329,Queen s Hotel
596,Nador,MA,70.05,clear sky,35.174,-2.9287,Hôtel La Giralda
598,Lagoa,PT,63.59,scattered clouds,39.05,-27.9833,Casa Das Faias
599,Huarmey,PE,64.35,broken clouds,-10.0681,-78.1522,Hotel Miramar
600,Las Palmas,ES,66.99,clear sky,28.4204,-14.0131,Casillas De Morales 59.
606,Bramming,DK,50.65,overcast clouds,55.4695,8.7001,Bramming city bed & breakfast
607,Rabo De Peixe,PT,65.28,broken clouds,37.8,-25.5833,Quinta das Giestas
