City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Kaabong,UG,2022-11-15 18:00:07,3.4836,34.1492,71.02,55,57,12.55
194,Portland,US,2022-11-15 17:58:11,45.5234,-122.6762,48.94,56,0,17.0
195,Kavaratti,IN,2022-11-15 18:00:09,10.5669,72.642,81.93,72,93,5.79
196,Kikwit,CD,2022-11-15 18:00:10,-5.041,18.8162,71.98,95,76,1.39
197,Verkhnevilyuysk,RU,2022-11-15 18:00:11,63.4453,120.3167,-30.64,100,41,2.55
198,Obihiro,JP,2022-11-15 18:00:11,42.9172,143.2044,34.88,88,97,3.31
199,San Quintin,MX,2022-11-15 18:00:12,30.4833,-115.95,64.99,38,19,3.87
200,Biak,ID,2022-11-15 18:00:13,-0.9131,122.8766,78.21,81,100,1.74
201,Safaga,EG,2022-11-15 18:00:14,26.7292,33.9365,72.77,49,0,15.9
202,Chuy,UY,2022-11-15 18:00:15,-33.6971,-53.4616,76.5,38,16,18.52
203,Jorhat,IN,2022-11-15 18:00:17,26.75,94.2167,61.54,90,0,2.06
204,Tautira,PF,2022-11-15 18:00:17,-17.7333,-149.15,78.28,79,100,4.21
205,Dunedin,NZ,2022-11-15 18:00:18,-45.8742,170.5036,56.8,97,100,2.77
206,Illela,NG,2022-11-15 18:00:19,13.7292,5.2975,79.07,13,3,10.09
207,Morant Bay,JM,2022-11-15 18:00:20,17.8815,-76.4093,88.72,68,12,10.11
208,Arlit,NE,2022-11-15 18:00:21,18.7369,7.3853,75.47,14,36,17.0
209,Kushmurun,KZ,2022-11-15 18:00:22,52.4503,64.6311,23.45,95,100,10.4
210,Mahebourg,MU,2022-11-15 17:59:49,-20.4081,57.7,71.89,64,40,6.91
211,Basoko,CD,2022-11-15 18:00:24,1.2391,23.616,74.3,86,100,5.26
212,Iquitos,PE,2022-11-15 18:00:25,-3.7481,-73.2472,90.91,51,100,4.68
213,North Bend,US,2022-11-15 18:00:21,43.4065,-124.2243,48.16,100,0,4.59
214,Espirito Santo Do Pinhal,BR,2022-11-15 18:00:28,-22.1158,-46.6828,77.54,64,96,5.01
215,Zhigansk,RU,2022-11-15 18:00:29,66.7697,123.3711,-19.88,97,100,10.67
216,Kharan,PK,2022-11-15 18:00:29,28.5833,65.4167,70.75,25,24,2.91
217,Porto Velho,BR,2022-11-15 18:00:30,-8.7619,-63.9039,89.65,58,75,6.91
218,Poum,NC,2022-11-15 18:00:30,-20.2333,164.0167,75.88,79,1,6.6
219,Ilulissat,GL,2022-11-15 18:00:31,69.2167,-51.1,24.82,86,75,3.44
220,Cravo Norte,CO,2022-11-15 18:01:32,6.3017,-70.2041,87.03,63,73,7.45
221,Bolobo,CD,2022-11-15 18:01:32,-2.1667,16.2333,73.85,88,82,0.51
222,Imbituba,BR,2022-11-15 18:01:33,-28.24,-48.6703,75.47,52,5,6.26
223,Grindavik,IS,2022-11-15 18:01:33,63.8424,-22.4338,46.87,87,100,13.8
224,Clocolan,ZA,2022-11-15 18:01:34,-28.9137,27.5656,62.6,61,48,0.47
225,Zabaykalsk,RU,2022-11-15 18:01:34,49.6333,117.3167,13.57,91,28,5.46
226,Alice Springs,AU,2022-11-15 18:01:35,-23.7,133.8833,71.15,30,99,8.05
227,Cabo San Lucas,MX,2022-11-15 18:01:09,22.8909,-109.9124,81.61,66,34,1.01
228,Tabou,CI,2022-11-15 18:01:36,4.423,-7.3528,79.7,78,19,6.08
229,San Angelo,US,2022-11-15 18:01:36,31.4638,-100.437,48.38,43,0,8.05
230,Orguz,BA,2022-11-15 18:01:37,43.7739,16.8639,49.05,92,91,3.67
231,Sisimiut,GL,2022-11-15 18:01:38,66.9395,-53.6735,18.37,91,100,8.32
232,Barinitas,VE,2022-11-15 18:01:38,8.7622,-70.4111,87.28,80,71,3.53
233,Yinchuan,CN,2022-11-15 18:00:13,38.4681,106.2731,43.03,21,99,4.7
234,Waspan,NI,2022-11-15 18:01:39,14.7419,-83.9717,89.94,51,42,7.78
235,Chimoio,MZ,2022-11-15 18:01:39,-19.1164,33.4833,69.53,69,53,3.02
236,Pangkalanbuun,ID,2022-11-15 18:01:40,-2.6833,111.6167,74.41,96,100,2.64
237,Russellville,US,2022-11-15 18:01:41,35.2784,-93.1338,44.74,70,100,12.66
238,Tuatapere,NZ,2022-11-15 18:01:41,-46.1333,167.6833,54.07,78,100,3.4
239,Jalu,LY,2022-11-15 18:01:23,29.0331,21.5482,65.05,42,1,6.33
240,Biloela,AU,2022-11-15 18:01:42,-24.4167,150.5,70.72,44,65,6.17
241,Fort Nelson,CA,2022-11-15 18:01:43,58.8053,-122.7002,31.95,82,42,2.59
242,Korla,CN,2022-11-15 18:00:32,41.7597,86.1469,36.28,53,98,0.96
243,Pandharpur,IN,2022-11-15 17:59:30,17.6667,75.3333,73.74,49,0,8.12
244,Faanui,PF,2022-11-15 18:01:44,-16.4833,-151.75,78.06,78,98,0.98
245,Siavonga,ZM,2022-11-15 18:01:44,-16.5382,28.7088,80.2,62,20,2.37
246,Makaryev,RU,2022-11-15 18:01:45,57.8797,43.8069,26.08,77,55,3.47
247,Elkton,US,2022-11-15 18:00:54,39.6068,-75.8333,46.13,66,100,1.01
248,Cayenne,GF,2022-11-15 18:00:08,4.9333,-52.3333,89.64,62,20,14.97
249,San Patricio,US,2022-11-15 18:01:47,28.017,-97.5169,57.06,49,57,15.19
250,Lavrentiya,RU,2022-11-15 18:01:47,65.5833,-171.0,29.84,82,100,22.46
251,Muzaffarabad,PK,2022-11-15 18:01:48,34.37,73.4711,51.21,57,39,6.06
252,Namibe,AO,2022-11-15 18:01:50,-15.1961,12.1522,68.18,77,72,11.05
253,Kahului,US,2022-11-15 18:01:50,20.8947,-156.47,71.83,97,95,1.01
254,Lieksa,FI,2022-11-15 18:01:50,63.3167,30.0167,31.75,74,100,5.68
255,Savinka,RU,2022-11-15 18:01:51,50.0785,47.0994,27.55,68,24,7.78
256,Vysokogornyy,RU,2022-11-15 18:01:52,50.1167,139.15,9.3,98,92,1.61
257,Antofagasta,CL,2022-11-15 18:00:03,-23.65,-70.4,68.85,62,6,8.84
258,Katsuura,JP,2022-11-15 18:01:53,35.1333,140.3,56.44,78,70,6.22
259,Yulara,AU,2022-11-15 18:01:28,-25.2406,130.9889,72.9,33,100,9.17
260,Pangai,TO,2022-11-15 18:01:53,-19.8,-174.35,77.49,82,48,8.32
261,Lebu,CL,2022-11-15 18:01:54,-37.6167,-73.65,63.19,71,6,8.68
262,Show Low,US,2022-11-15 18:01:01,34.2542,-110.0298,49.08,41,0,10.36
263,Palmas,BR,2022-11-15 18:01:54,-10.2128,-48.3603,85.24,63,94,3.8
264,Teresina,BR,2022-11-15 18:01:55,-5.0892,-42.8019,101.17,24,67,3.44
265,Pilar,BR,2022-11-15 18:01:55,-9.5972,-35.9567,85.93,58,53,11.54
266,Harbour Breton,CA,2022-11-15 18:01:56,47.4833,-55.7983,39.63,61,52,14.58
267,Masterton,NZ,2022-11-15 18:02:56,-40.9597,175.6575,51.89,86,2,3.04
268,Dabakala,CI,2022-11-15 18:02:57,8.3667,-4.4333,82.45,44,5,3.2
269,Nanyamba,TZ,2022-11-15 18:02:58,-10.6833,39.8333,71.02,87,97,4.27
270,Sivas,TR,2022-11-15 18:02:58,39.7916,37.0019,41.63,70,0,4.61
271,Shimanovsk,RU,2022-11-15 18:02:59,52.0,127.7,17.17,94,100,4.74
272,Muroto,JP,2022-11-15 18:02:59,33.2833,134.15,59.61,56,0,13.51
273,Severo-Yeniseyskiy,RU,2022-11-15 18:03:00,60.3725,93.0408,17.74,97,100,1.1
274,Athabasca,CA,2022-11-15 18:00:20,54.7169,-113.2854,34.43,76,82,14.09
275,Rio Gallegos,AR,2022-11-15 18:03:00,-51.6226,-69.2181,70.81,16,79,23.98
276,Nome,US,2022-11-15 18:03:02,64.5011,-165.4064,21.27,86,100,16.11
277,Sagarejo,GE,2022-11-15 18:03:02,41.734,45.3315,43.23,78,4,3.51
278,Inhambane,MZ,2022-11-15 18:03:03,-23.865,35.3833,71.58,73,20,4.61
279,Effium,NG,2022-11-15 18:03:04,6.6292,8.0593,81.48,39,95,1.57
280,Abu Samrah,SY,2022-11-15 18:03:04,35.3029,37.1841,61.97,69,36,1.88
281,Otane,NZ,2022-11-15 18:03:04,-39.8833,176.6333,61.02,90,27,1.3
282,Coahuayana,MX,2022-11-15 18:03:05,18.7333,-103.6833,89.56,45,60,3.98
